obf,count,score,alpha,beta
--------------------OX----XXX----OOOOO----O-OOO----------------- X;,0,16,-64,0
------------------OXX------OX-----OXOO----OO-O----O---O--------- X;,0,34,-64,0
-------------O----OXOX----XOXX----OXO----O--O------------------- X;,1,8,-64,0
------------------XXXOO---XXXO-----OOO-----O--O----------------- X;,2,10,-64,0
------------O-----OXOX----XXOX----OXO----O--O------------------- X;,1,10,-64,0
-------------O----OXO-----OXX-----OXOO----OO------O------------- X;,0,18,-64,0
------------------XXXOO---XXXO-----OOOO----O-------------------- X;,9,10,-64,0
----------O-------XOXO----XXOX-----OOOO----O-------------------- X;,1,10,-64,0
------------O-----XXOO----XXOX-----OOOO----O-------------------- X;,43,12,-64,0
-----------O------XOOO----XOXO-----OOOO----O-------------------- X;,3,22,-64,0
------------------OOOOO---XXXO---OOOO-------O------------------- X;,0,22,-64,0
--------------O---OXXO----XXOX---OOOO-------O------------------- X;,0,32,-64,0
-----------------OO-OX----OXXX---OOOO-----X-O------------------- X;,11,10,-64,0
--------------------XX----OOXO-----XO-----XOOO----O--O---------- X;,2,12,-64,0
----------O-------OOXX-----OX-----OOOO----XO-------O------------ X;,1,12,-64,0
----------O-------OOXX-----XX-----OXOO----XO--------O----------- X;,4,14,-64,0
-----------------OO-OX----OXXX----OXO-----O-O-----O------------- X;,0,20,-64,0
----------O-------OOXX-----XX-----OXOO----OO------O------------- X;,1,22,-64,0
----------------OOO-OX----XXXX----OXO-----O-O------------------- X;,1,12,-64,0
----------X-------OXOO-----XX-----OXOO----OO------O------------- X;,0,12,-64,0
-----------------XO-OX----XXXO----OXO-O---O-O------------------- X;,1,16,-64,0
---------------O--XO-OO---XXXO-----OOO-----O-O------------------ X;,0,20,-64,0
--------------O--XO-OO----XXOX----OOO-----O-O------------------- X;,0,26,-64,0
-----------O-----OOOX-----OXX-----XOOOO----O-------------------- X;,0,16,-64,0
-----------O------XOX-----OXX----OOOOOO----O-------------------- X;,2,18,-64,0
-----------O------XOO-----XXXO----XOOOO----O-------------------- X;,1,18,-64,0
-----------O------OOX----OXXX-----OOOOO----O-------------------- X;,0,20,-64,0
------------------XXX----OOXOO---OOOO-------O-------O----------- X;,1,22,-64,0
------------------XXX----OOXOO----OOO-----O-O-------O----------- X;,0,22,-64,0
---------O-O------OOX-----XOX-----XOOOO----O-------------------- X;,0,34,-64,0
----------O-------XOX-O---XXXO-----OOOO----O-------------------- X;,0,16,-64,0
-------------O-----XOO----XXXO---OOOOO------O------------------- X;,0,16,-64,0
-------------O-----XOX----XXXO---OOOO-O-----O------------------- X;,0,18,-64,0
----------O-O-----XOO-----XXOX-----OOOO----O-------------------- X;,0,18,-64,0
-----------------OXX------OXOO----OOO-----OOO-------O----------- X;,0,18,-64,0
-------------O-----XOOO---XXXO---OOOO-------O------------------- X;,0,20,-64,0
----------OO------XOO-----XXXO-----OOOO----O-------------------- X;,0,22,-64,0
-------------OO----XOO----XXOX---OOOO-------O------------------- X;,0,36,-64,0
-----------O-----OXOX----XXOX------OOOO----O-------------------- X;,0,18,-64,0
-----------------OXXX----OXXX----O-OOOO----O-------------------- X;,1,20,-64,0
----------O------OXOX----XXXO------OOOO----O-------------------- X;,0,20,-64,0
----------OX------OX------OXOO----OOO-----O-O-------O----------- X;,0,20,-64,0
----------OX------XX------XXOO---OOOO-------O-------O----------- X;,0,24,-64,0
---------O-------OOXX----XXOX------OOOO----O-------------------- X;,0,36,-64,0
------------O-----XXXO----XXO-O----OOOO----O-------------------- X;,0,18,-64,0
-----------OO-----XOXX----XOO------OOOO----O-------------------- X;,1,20,-64,0
------------O-----XXXX---OOOO------OOOO----O-------------------- X;,0,22,-64,0
----------O-O-----XOXX----XXO------OOOO----O-------------------- X;,0,22,-64,0
------------O----OXXXX----OXO------OOOO----O-------------------- X;,0,28,-64,0
------------O-----XOXX----OXO----O-OOOO----O-------------------- X;,0,28,-64,0
---------O--O-----OXXX----XOO------OOOO----O-------------------- X;,0,34,-64,0
------------O-O---XXXO----XXO------OOOO----O-------------------- X;,0,38,-64,0
---------O--------OXX----OXXX-----OOOOO----O-------------------- X;,0,34,-64,0
---------O--------OXX-----XXX----OOOOOO----O-------------------- X;,0,34,-64,0
---------O-------OOXX-----OXX-----XOOOO----O-------------------- X;,0,34,-64,0
---------O--------OXX-----OXX-----OOOOO---OO-------------------- X;,0,34,-64,0
---------O--------OXX-----OXOO----OOO-----O-O-------O----------- X;,0,36,-64,0
---------O--------OXX-----XXOO---OOOO-------O-------O----------- X;,0,38,-64,0
---------O-------OOXX-----OXOO----XOO-------O-------O----------- X;,0,42,-64,0
-----------------OO-OX---XOXXX----OOO----O--O------------------- X;,1,10,-64,0
----------------O-O-OX---OXXXX----OXO----O--O------------------- X;,0,12,-64,0
------------------O-OX---OXXXX--O-OXO----O--O------------------- X;,0,12,-64,0
------------------O-OX---XXXXO----OXO-O--O--O------------------- X;,0,14,-64,0
-----------X-O----OXO------XX-----OXOO----OO------O------------- X;,0,20,-64,0
-----------------O--OX----OXXX----OXO----OOOO------------------- X;,0,12,-64,0
-----------------O--OX----OXXO----OXO-O--OX-O------------------- X;,0,16,-64,0
-------------------O-XO----OXO---OOOOO----XO--O----------------- X;,0,16,-64,0
----------O--O-----OOX-----XX-----OXOO----OO------O------------- X;,0,18,-64,0
-----------------O--OX----OXXX----OXO----OO-O-----O------------- X;,0,20,-64,0
------------XO-----XXO-----XO-----OOOO----OO------O------------- X;,0,18,-64,0
--------------------OOO---XXXO--OOOOO----O--O------------------- X;,0,20,-64,0
-----------------O--OOO---OXXO---XXOO----O--O------------------- X;,0,20,-64,0
------------XO----OXX------OX-----OXOO----OO------O------------- X;,0,22,-64,0
----------OOO------XO------XO-----OOOO------OO-------O---------- X;,0,26,-64,0
------------------X-OX---OOOX-----XXOX----X-OO------------------ X;,17,-6,0,64
----------------X-X-OX---XOOO-----XOOX------OO------------------ X;,1,-10,0,64
------------------X-OX---XOOO---X-OOXX----O-O------------------- X;,0,-12,0,64
------------------XXXX-----XOOO---XXOO-----OO------------------- X;,4,-14,0,64
------------------X-X-----OOXXX----OO-----XOO------OO----------- X;,0,-14,0,64
------------------X-X-----OOXX-----OO-X---XOO------OO----------- X;,0,-14,0,64
----------X-------XXOX-----OOOO---XXOX-----O-------------------- X;,0,-14,0,64
-----------X------XX-X-----XOOO---XXOOO----O-------------------- X;,0,-14,0,64
-------------------XXX----OXX-----XXOX-----OOO----O------------- X;,3,-8,0,64
------------------XXXX----XOX-----XOOOO-----OO------------------ X;,0,-10,0,64
-------------------OX-----XOO-----XOXXX---XOOO------------------ X;,0,-12,0,64
-------------------XXX----XOX----XOOOX---O--OO------------------ X;,0,-12,0,64
-------------------XXX----OOX-----XOOX----XOOO------------------ X;,6,-14,0,64
------------------OX-X----OOXX---XOOOX-----XO------------------- X;,0,-14,0,64
------------------XXX------XXXX---XOOOO---OO-------------------- X;,0,-16,0,64
-----------------XXXOX----OOOX-----OOX-----XO------------------- X;,0,-16,0,64
----------XO------XOXX-----OXX----XXOX-----O-------------------- X;,0,-10,0,64
------------------OX-XX---XOOX---X-OOO-----XO------------------- X;,0,-18,0,64
----------X--X----XXX------XOO----XOOX----OO-------------------- X;,1,-18,0,64
------------------OX-XX--XXOOX-----OOO-----XO------------------- X;,0,-18,0,64
-------------X-----OXX----OOX-----XOXX----XOO------------------- X;,0,-20,0,64
-----------X------OOOX----XXOX-----XOO----XO-------------------- X;,1,-12,0,64
-------------------OXX----XOX-----XOOO----XOOO------------------ X;,0,-12,0,64
-----------OX-----OO-X----XOXX-----XOO----XO-------------------- X;,1,-14,0,64
------------------X-OX----XOX-----XOOX----XOOO------------------ X;,0,-14,0,64
-----------X-------XXX-----XX-----OXOO----XOOO------------------ X;,0,-14,0,64
------------X-------XX----OOX-----XOOX----XOOO------------------ X;,2,-16,0,64
-----------------X--OX----XOX-----XOOX----XOOO------------------ X;,0,-16,0,64
-------------X----O-XX----OOX-----XXOX----X-OO------------------ X;,0,-16,0,64
----------X-------XX-X----XOXX----OOOO----XO-------------------- X;,0,-20,0,64
-----------------XXX-X---XXOOO-----OO-----OOO------------------- X;,1,-12,0,64
------------------XXX------OO-----OOOXX---XOOO------------------ X;,1,-12,0,64
-----------------OOX-X---XOXXXX----OO------XO------------------- X;,0,-14,0,64
-----------X------OX-X---OOOXX-----XOO----XO-------------------- X;,0,-14,0,64
----------X-------XX-X---XXOOO-----OO-----OOO------------------- X;,0,-14,0,64
------------------OX-X---XOOXX----OOOX-----XO------------------- X;,0,-14,0,64
-----------X------XX-X---XXOOO-----OO-----OOO------------------- X;,0,-16,0,64
----------X--------XX------OX-----OOOXX---XOOO------------------ X;,0,-20,0,64
----------O------XOX-X----OOXXX----OO------XO------------------- X;,0,-12,0,64
------------------OX-X---OOOXXX--X-OO------XO------------------- X;,0,-16,0,64
------------X-----X-XX----XOOO----XOOO------OO------------------ X;,0,-18,0,64
------------X------OXX---XXOX-----XOOX------OO------------------ X;,0,-18,0,64
------------------X-X-----OOXX----OOO-X---XOOO------------------ X;,1,-14,0,64
-------------------XOX----XXOXX--X-OO-----OOO------------------- X;,0,-14,0,64
------------------OX-X----XOXX---X-OOX----OOO------------------- X;,0,-14,0,64
------------X-----OX-X----XOXXX----OOO----XO-------------------- X;,0,-20,0,64
----------X-------OOOO-----OX-X---OOXX----X-X------------------- X;,0,-24,0,64
------------X-X---OX-X----XOXO-----XOO----XO-------------------- X;,0,-34,0,64
------------------XXXO-O---XXXO----OOO----XO-------------------- X;,1,-6,0,64
------------------X-OX----OOOX-----XOX----XOOO------------------ X;,2,-6,0,64
------------------XXXXX---OOOO-----OOO----XO-------------------- X;,1,-10,0,64
------------------XXXO----OOOX-----OOOX---XO-------------------- X;,0,-10,0,64
------------------XO-OX----OOO-----XXO----XXXO------------------ X;,0,-10,0,64
------------------X--X---XXXXX-----OOOO----OOO------------------ X;,1,-12,0,64
------------------X-OX----XOOX----XXOX-----OOO------------------ X;,0,-12,0,64
-------------OX---XXXO-----XXO-----XOO----XO-------------------- X;,0,-26,0,64
------------------XXXX-----OOOO---OXOX----XO-------------------- X;,1,-6,0,64
------------------XXX-----XOOO---OOOOX----XO-------------------- X;,4,-8,0,64
------------------XXX------OOOO---OOOXX---XO-------------------- X;,1,-8,0,64
-------------------XXX----OOX-----XXOO----X-OOO----------------- X;,0,-14,0,64
------------------XOOX---XXXOX-----OOX-----XO------------------- X;,1,-14,0,64
------------------XXX-----OOOO----XOOX---XXO-------------------- X;,0,-14,0,64
------------------XO-X----XOOX----XXOX-----XOO------------------ X;,2,-16,0,64
------------------XXX------OOO---XXXOX----XOO------------------- X;,1,-16,0,64
------------X-------XX----XOX----OOOO-----X-OOO----------------- X;,0,-8,0,64
-------------O----X--OX--XXXOO-----OOO-----XO------------------- X;,0,-8,0,64
------------X------OXX----XOX-----XOO----X--OOO----------------- X;,0,-10,0,64
-------------------XO------OO----XXXOXX---X-OO-------O---------- X;,0,-16,0,64
------------------X--X----OOXX----OOOX----XOX------O------------ X;,0,-12,0,64
------------------XOOX----XOX-----XOX-----XOOX------------------ X;,4,-14,0,64
------------------X--X----OOXXX---OOO-----XOX------O------------ X;,0,-14,0,64
----------X-------XXOX-----OOOO----XOX----XO-------------------- X;,1,-14,0,64
------------------X--XX---OOXX----OOX-----XOX------O------------ X;,0,-18,0,64
----------OX------XOXX-----XOX-----XOX----XO-------------------- X;,0,-20,0,64
------------------X--X----OXXX----OOOX----XOO------O------------ X;,0,-12,0,64
